0	hello what are doing today ?	0
1	i am good , i just got off work and tired , i have two jobs .	0
2	i just got done watching a horror movie	0
3	i rather read , i have read about 20 books this year .	0
4	wow ! i do love a good horror movie . loving this cooler weather	0
5	but a good movie is always good .	0
6	yes ! my son is in junior high and i just started letting him watch them too	0
7	i work in the movies as well .	0
8	neat ! ! i used to work in the human services field	0
9	yes it is neat , i stunt double , it is so much fun and hard work .	0
10	yes i bet you can get hurt . my wife works and i stay at home	0
11	nice , i only have one parent so now i help out my mom .	0
12	i bet she appreciates that very much .	0
13	she raised me right , i am just like her .	0
14	my dad was always busy working at home depot	0
15	now that i am older home depot is my toy r us .	0
0	hi ! how are you doing tonight ?	0
1	i am doing great . just relaxing with my two dogs .	0
2	great . in my spare time i do volunteer work .	0
3	that is neat . what kind of volunteer work do you do ?	0
4	i work in a homeless shelter in my town .	0
5	good for you . do you like vintage cars ? i have two older mustangs .	1
6	cool . not really into cars . my day job is wrestling .	0
7	cars are my thing . vintage cars . i love working on them . wrestling ? do you enjoy it ?	0
8	yes , i love the crowds , getting to know people .	0
9	i did not think about the crowd aspect of wrestling . i do not like crowds .	0
10	understood . when i need to be alone , i work out a few times each week .	0
11	i agree . working out is a great way to burn off steam . do you like country music ?	1
12	a little bit . i can get into taylor swift .	0
13	lol . she is more pop now . her old stuff was country . i like classic country .	0
0	hello , how are you doing ?	0
1	i love spending time with my family	0
2	that is great , me too ! i am married and my husband and i have 2 children .	0
3	so then have you ever been to disneyland ?	1
4	no , we recently purchased a new house , so we cannot afford it . have you ?	0
5	yes i love mickey mouse such a cute little rat	0
6	i enjoy going to concerts , i see the rolling stones every year .	0
7	man your lucky i am a baby delivery nurse and the pay sucks	1
8	maybe you should consider going back to school . i did . i major in economics .	0
9	i have to walk 3 miles to work to save money everyday what do you do ?	0
10	i mostly eat a fresh and raw diet , so i save on groceries .	0
11	your economic skills are amazing	0
12	thank you very much ! i am sure you are a great nurse .	0
13	i am a ok nurse i have dripped some babies though but i am getting better	0
0	hi how are you doing ? i am okay how about you ?	0
1	i am doing good . just sipping tea . what do you do for work ?	0
2	i used to do home health aide but now i am disabled .	0
3	i am sorry to hear that . what happened	0
4	i graduated and got my license worked a while and became i will .	0
5	so what do you do now for fun ? i like to read .	1
6	i have dogs and i walk them . and a cat .	0
7	what kind of dogs do you have ?	0
8	i enjoy reading read about michael jackson and psychology today .	0
9	i love reading . i have a big library at my house .	0
10	that is very nice i love to read to and read about journals .	0
11	i have a tough time hearing so reading is my happy place .	0
12	cool that is okay . my mom was very tough on me .	1
13	i work as a hearing impaired museum tour guide .	0
0	hi i dye my hair 4 times a year	0
1	do you live in the sky ? i do . in the clouds .	0
2	no i do not , i have a dream , it is to work from home	0
3	i make time stop . i have a superpower . i am a super hero .	0
4	that is really cool that you can do that	0
5	i love living in the clouds the best . do you have powers ?	0
6	no i do not , i faint when i see blood	0
7	i do not like blood . i vomit .	0
8	i went to school to be a vet , but i did not like it	1
9	i want to be a teacher when i grow up	0
10	what is your name ? are you a male or female ?	1
11	i am a girl . i do not give out my name .	0
12	i think a teacher is to tough	0
13	i like science and art .	0
0	hi ! do you like turtles ?	0
1	i am much more of a cat person actually	0
2	i have a turtle his name is speedy . kitties are nice too , tho !	0
3	that is an adorable name for a turtle . i have 2 cats	0
